2025-09-28 17:48:19.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 17], Offset: 500, Limit: 100, Categories: [5070]
2025-09-28 17:48:21.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 17], Offset: 600, Limit: 100, Categories: [5070]
2025-09-28 17:48:23.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 17], Offset: 700, Limit: 100, Categories: [5070]
2025-09-28 17:48:25.4|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 17], Offset: 800, Limit: 100, Categories: [5070]
2025-09-28 17:48:27.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH] for Season / Episode:[S01E17], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:48:37.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [18] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:48:39.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [18] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:48:41.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [18] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:48:43.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[S01E18], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:48:45.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 18], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:48:47.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 18], Offset: 100, Limit: 100, Categories: [5070]
2025-09-28 17:48:49.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH 18], Offset: 200, Limit: 100, Categories: [5070]
2025-09-28 17:48:51.6|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [BLEACH] for Season / Episode:[S01E18], Offset: 0, Limit: 100, Categories: [5070]
2025-09-28 17:48:54.9|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [19] | ID(s): TVDbId:[74796] TVRageId:[2825] TvMazeId:[1905] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
