2025-11-06 10:00:40.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia S5 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:42.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia S6] for Season / Episode:[S06E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:44.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia S5] for Season / Episode:[S05E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:46.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 6th Season 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:48.2|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 5th Season 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:50.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 6th Season] for Season / Episode:[S06E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:52.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [Boku no Hero Academia 5th Season] for Season / Episode:[S05E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:54.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:56.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:00:58.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 12], Offset: 100, Limit: 100, Categories: [5070]
2025-11-06 10:01:00.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 12], Offset: 100, Limit: 100, Categories: [5070]
2025-11-06 10:01:02.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 12], Offset: 200, Limit: 100, Categories: [5070]
2025-11-06 10:01:04.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia 12], Offset: 200, Limit: 100, Categories: [5070]
2025-11-06 10:01:06.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia] for Season / Episode:[S06E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:01:08.5|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [My Hero Academia] for Season / Episode:[S05E12], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:01:19.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [13] | ID(s): TVDbId:[305074] TvMazeId:[13615] for Season / Episode:[], Offset: 0, Limit: 100, Categories: [5070]
2025-11-06 10:01:21.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [13] | ID(s): TVDbId:[305074] TvMazeId:[13615] for Season / Episode:[], Offset: 100, Limit: 100, Categories: [5070]
2025-11-06 10:01:23.7|Info|ReleaseSearchService|Searching indexer(s): [NZBgeek] for Term: [13] | ID(s): TVDbId:[305074] TvMazeId:[13615] for Season / Episode:[], Offset: 200, Limit: 100, Categories: [5070]
